City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ulladulla,AU,83.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
7,Busselton,AU,77.04,clear sky,-33.65,115.3333,Observatory Guest House
8,Byron Bay,AU,80.55,broken clouds,-28.65,153.6167,Backpackers Inn
11,Bengkulu,ID,78.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
13,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Hithadhoo,MV,82.06,scattered clouds,-0.6,73.0833,Scoop Guest House
28,Kavieng,PG,83.53,light rain,-2.5744,150.7967,Nusa Island Retreat
30,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Sibolga,ID,77.85,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
37,Vaini,TO,80.55,overcast clouds,-21.2,-175.2,Keleti Beach Resort
38,Vanimo,PG,81.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
41,Juba,SS,79.25,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
51,Samarai,PG,82.99,scattered clouds,-10.6167,150.6667,Nuli Sapi
54,Ranong,TH,78.19,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
57,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Rikitea,PF,78.94,clear sky,-23.1203,-134.9692,People ThankYou
64,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
66,Lokoja,NG,79.36,overcast clouds,7.8024,6.743,Hotel Charvid
68,Carutapera,BR,76.91,moderate rain,-1.195,-46.02,Lidera
73,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
75,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Jizan,SA,76.62,few clouds,17.3333,42.6667,شهدان. ابوالحجر
80,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Carnarvon,AU,84.09,clear sky,-24.8667,113.6333,Hospitality Carnarvon
87,Yaan,NG,80.02,overcast clouds,7.3833,8.5667,
90,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
92,Vao,NC,80.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
93,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
98,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
99,Arraial Do Cabo,BR,75.7,few clouds,-22.9661,-42.0278,Pousada Porto Praia
107,Dingle,PH,81.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
108,Thinadhoo,MV,81.61,overcast clouds,0.5333,72.9333,
115,Richards Bay,ZA,77.07,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
116,Faanui,PF,80.49,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
127,Hobyo,SO,76.87,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
128,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
130,Bubaque,GW,77.94,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
135,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
136,Mahibadhoo,MV,81.16,broken clouds,3.7833,72.9667,Omadhoo Inn
146,La Union,PE,76.98,overcast clouds,-5.4,-80.75,Los Portales
147,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
150,Roura,GF,79.97,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
152,Katherine,AU,86.32,few clouds,-14.4667,132.2667,Pine Tree Motel
155,Poum,NC,82.96,moderate rain,-20.2333,164.0167,
156,Cairns,AU,89.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
158,Pointe Michel,DM,77.23,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
160,Porecatu,BR,84.27,scattered clouds,-22.7558,-51.3792,Hotel Central
166,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
170,Boyolangu,ID,75.85,heavy intensity rain,-8.1181,111.8935,Yos ega cv
171,Koumac,NC,86.61,overcast clouds,-20.5667,164.2833,Le Monitel
172,Kununurra,AU,75.18,heavy intensity rain,-15.7667,128.7333,Hotel Kununurra
176,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
185,Buluang,PH,80.2,overcast clouds,13.3068,123.3425,Enon Beach Resort
190,Atuona,PF,77.94,light rain,-9.8,-139.0333,Villa Enata
201,Alofi,NU,81.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
