City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ulladulla,AU,-35.35,150.4667,83.88,41,97,10.0,overcast clouds
1,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
2,East London,ZA,-33.0153,27.9116,71.8,81,31,10.09,scattered clouds
3,Mount Gambier,AU,-37.8333,140.7667,72.05,56,30,8.7,scattered clouds
4,Torbay,CA,47.6666,-52.7314,34.57,81,100,7.0,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,46.11,49,20,13.8,few clouds
6,Thompson,CA,55.7435,-97.8558,-16.53,100,83,3.67,broken clouds
7,Busselton,AU,-33.65,115.3333,77.04,52,0,10.74,clear sky
8,Byron Bay,AU,-28.65,153.6167,80.55,84,69,11.88,broken clouds
9,Namie,JP,37.4833,141.0,42.78,63,100,13.2,overcast clouds
10,Nueva Loja,EC,0.0847,-76.8828,72.34,95,100,2.62,overcast clouds
11,Bengkulu,ID,-3.8004,102.2655,78.12,80,100,3.51,overcast clouds
12,Georgetown,MY,5.4112,100.3354,80.53,85,20,0.0,few clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,89,4.16,overcast clouds
14,Umm Kaddadah,SD,13.6017,26.6876,63.27,19,0,16.24,clear sky
15,Qaanaaq,GL,77.484,-69.3632,-8.1,71,88,6.17,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,38.86,75,40,34.52,scattered clouds
17,Rumford,US,44.5537,-70.5509,19.96,45,100,3.8,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,82.06,75,38,12.8,scattered clouds
19,New Norfolk,AU,-42.7826,147.0587,64.9,62,92,4.63,overcast clouds
20,Albany,US,42.6001,-73.9662,22.26,56,26,5.01,scattered clouds
21,Ahipara,NZ,-35.1667,173.1667,70.74,55,25,10.27,scattered clouds
22,Severo-Kurilsk,RU,50.6789,156.125,26.35,66,45,15.21,scattered clouds
23,Hermanus,ZA,-34.4187,19.2345,70.9,80,89,17.78,overcast clouds
24,Khovu-Aksy,RU,51.1333,93.6,-10.21,87,100,2.82,overcast clouds
25,Hobart,AU,-42.8794,147.3294,65.26,75,75,11.5,broken clouds
26,Sotnikovo,RU,51.8845,107.4791,-34.51,67,84,2.24,smoke
27,Sao Filipe,CV,14.8961,-24.4956,73.44,68,68,11.16,broken clouds
28,Kavieng,PG,-2.5744,150.7967,83.53,73,86,7.27,light rain
29,Castro,BR,-24.7911,-50.0119,66.0,89,100,0.89,overcast clouds
30,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,38,11.9,scattered clouds
31,Husavik,IS,66.0449,-17.3389,13.24,76,90,17.02,overcast clouds
32,Palmer,US,42.1584,-72.3287,27.93,56,100,9.22,overcast clouds
33,Yerbogachen,RU,61.2767,108.0108,-31.45,100,87,3.44,overcast clouds
34,Cacule,BR,-14.5033,-42.2222,68.68,97,100,4.74,overcast clouds
35,Sibolga,ID,1.7427,98.7792,77.85,85,68,2.26,broken clouds
36,Ayni,TJ,39.3941,68.5377,24.82,77,83,6.33,broken clouds
37,Vaini,TO,-21.2,-175.2,80.55,71,99,16.84,overcast clouds
38,Vanimo,PG,-2.6741,141.3028,81.91,81,100,2.01,overcast clouds
39,Dikson,RU,73.5069,80.5464,-5.19,87,100,23.71,overcast clouds
40,Vikhorevka,RU,56.1201,101.1636,-13.41,100,100,1.66,overcast clouds
41,Juba,SS,4.8517,31.5825,79.25,36,100,3.96,overcast clouds
42,Goure,NE,13.9835,10.2704,71.02,13,0,8.19,clear sky
43,Jamestown,US,42.097,-79.2353,15.3,61,40,5.75,scattered clouds
44,Mataura,NZ,-46.1927,168.8643,71.13,37,100,1.54,overcast clouds
45,Ribeira Grande,PT,38.5167,-28.7,58.15,69,100,5.46,overcast clouds
46,Lluta,PE,-16.0147,-72.0142,50.23,71,69,1.99,broken clouds
47,Tasiilaq,GL,65.6145,-37.6368,21.36,93,100,18.79,light snow
48,Basco,PH,20.4487,121.9702,74.23,86,100,23.49,overcast clouds
49,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,76,100,6.91,overcast clouds
50,Xai-Xai,MZ,-25.0519,33.6442,73.38,93,28,0.4,scattered clouds
51,Samarai,PG,-10.6167,150.6667,82.99,69,50,6.93,scattered clouds
52,Lapeer,US,43.0514,-83.3188,14.52,67,0,3.44,clear sky
53,Yellowknife,CA,62.456,-114.3525,-18.58,89,33,1.25,scattered clouds
