City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2022-02-12 16:51:51,-33.5906,26.891,77.31,89,7,15.23
1,Hermanus,ZA,2022-02-12 16:48:19,-34.4187,19.2345,71.91,84,96,6.53
2,Astoria,US,2022-02-12 16:47:28,46.1879,-123.8313,48.85,78,0,13.0
3,Galle,LK,2022-02-12 16:51:51,6.0367,80.217,76.59,89,96,4.18
4,Vilhena,BR,2022-02-12 16:51:51,-12.7406,-60.1458,80.82,78,75,11.5
5,Tasiilaq,GL,2022-02-12 16:51:51,65.6145,-37.6368,6.22,64,100,2.73
6,Saskylakh,RU,2022-02-12 16:51:20,71.9167,114.0833,0.63,77,41,13.38
7,Albany,US,2022-02-12 16:47:14,42.6001,-73.9662,50.85,46,99,1.99
8,Khatanga,RU,2022-02-12 16:48:25,71.9667,102.5,-13.58,86,95,7.29
9,Whitehorse,CA,2022-02-12 16:51:52,60.7161,-135.0538,32.77,69,20,13.8
10,Arcachon,FR,2022-02-12 16:51:52,44.5875,-1.0519,55.45,58,20,1.14
11,Cape Town,ZA,2022-02-12 16:48:00,-33.9258,18.4232,73.27,71,0,13.8
12,Hobart,AU,2022-02-12 16:51:10,-42.8794,147.3294,57.06,73,77,11.5
13,Hit,IQ,2022-02-12 16:51:52,33.6416,42.8251,57.94,30,0,11.3
14,Lavrentiya,RU,2022-02-12 16:51:53,65.5833,-171.0,-19.01,94,11,6.96
15,Vila Velha,BR,2022-02-12 16:51:53,-20.3297,-40.2925,78.75,89,75,11.5
16,Ushuaia,AR,2022-02-12 16:48:31,-54.8,-68.3,51.42,61,47,40.29
17,Chuy,UY,2022-02-12 16:51:53,-33.6971,-53.4616,75.09,82,98,5.41
18,Hilo,US,2022-02-12 16:51:53,19.7297,-155.09,69.53,82,100,10.36
19,Mataura,NZ,2022-02-12 16:51:54,-46.1927,168.8643,51.48,94,100,2.98
20,Talnakh,RU,2022-02-12 16:51:54,69.4865,88.3972,-9.33,79,37,9.84
21,Xuddur,SO,2022-02-12 16:51:54,4.1213,43.8894,80.94,27,31,9.98
22,Rikitea,PF,2022-02-12 16:51:54,-23.1203,-134.9692,78.71,72,38,16.31
23,Reyes,BO,2022-02-12 16:51:55,-14.3167,-67.3833,87.94,58,100,5.23
24,Magadan,RU,2022-02-12 16:51:55,59.5667,150.8,-7.67,77,94,5.61
25,Upernavik,GL,2022-02-12 16:51:55,72.7868,-56.1549,-4.85,98,100,15.05
26,Vaitape,PF,2022-02-12 16:51:56,-16.5167,-151.75,79.75,76,80,13.18
27,Iquique,CL,2022-02-12 16:47:10,-20.2208,-70.1431,73.44,63,9,9.51
28,Aranos,NA,2022-02-12 16:51:56,-24.1333,19.1167,74.89,58,90,13.96
29,Carnarvon,AU,2022-02-12 16:51:56,-24.8667,113.6333,82.47,69,40,12.66
30,Amahai,ID,2022-02-12 16:51:56,-3.3333,128.9167,77.05,89,100,4.18
31,Bluff,NZ,2022-02-12 16:51:57,-46.6,168.3333,51.8,64,80,14.92
32,Bredasdorp,ZA,2022-02-12 16:48:29,-34.5322,20.0403,71.28,73,57,9.22
33,New Norfolk,AU,2022-02-12 16:51:57,-42.7826,147.0587,56.7,67,77,2.66
34,Phan Thiet,VN,2022-02-12 16:51:57,10.9333,108.1,76.84,76,100,7.72
35,Souillac,MU,2022-02-12 16:51:57,-20.5167,57.5167,80.98,78,40,1.14
36,Severo-Kurilsk,RU,2022-02-12 16:49:33,50.6789,156.125,18.27,79,69,2.28
37,Mar Del Plata,AR,2022-02-12 16:49:25,-38.0023,-57.5575,66.22,70,20,20.71
